Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Water,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Vitamins.Vitamin B12,Result
Raisins,"Raisins, chocolate covered",91739010,0,68.4,3,3.1,4.1,11.2,45,143,514,0.37,Yes
Raisins,"Raisins, yogurt covered",91739600,0,72.86,0,2.6,4.38,9.77,28,123,553,0.27,No
Sesame Crunch,"Sesame Crunch, Sahadi",91742010,0,50.3,0,7.7,11.6,2.2,251,412,307,0,Yes
Gumdrops,Gumdrops,91745010,0,98.9,0,0.1,0,1,1,1,5,0,Yes
Hard candy,Hard candy,91745020,0,98,0,0,0,1.3,3,3,5,0,Yes
Butterscotch hard candy,Butterscotch hard candy,91745040,0,90.4,9,0,0.03,5.25,0,1,3,0,Yes
Skittles,Skittles,91745100,0,90.78,0,0,0.19,3.83,1,1,12,0,No
Sugar-coated chocolate discs,Sugar-coated chocolate discs,91746010,0,71.19,14,2.8,4.33,1.7,44,146,261,0.53,No
M&M's Milk Chocolate Candies,M&M's Milk Chocolate Candies,91746100,0,71.19,14,2.8,4.33,1.7,44,146,261,0.53,No
Sixlets,Sixlets,91746120,0,71.19,14,2.8,4.33,1.7,44,146,261,0.53,Yes
Easter egg,"Easter egg, candy coated chocolate",91746150,0,71.19,14,2.8,4.33,1.7,44,146,261,0.53,No
M&M's Pretzel Chocolate Candies,M&M's Pretzel Chocolate Candies,91746200,0,72.94,13,2.5,5,4.84,39,135,253,0.45,No
Taffy,Taffy,91750000,0,82.15,0,0,0.81,8.46,2,11,12,0.02,Yes
Toffee,"Toffee, plain",91760000,0,78.17,7,0,4.67,7.11,17,116,217,0.3,Yes
Toffee,"Toffee, chocolate covered",91760100,2,63.73,53,1.3,3.13,1.57,10,61,153,0.21,No
Toffee,"Toffee, chocolate-coated, with nuts",91760200,0,66.83,11,1.8,7.62,5.46,45,167,309,0.4,No
Truffles,Truffles,91760500,0,49.64,41,2.8,6.78,10.06,53,181,323,0.65,Yes
Wax candy,"Wax candy, liquid filled",91760700,0,32.4,0,0,0,67.4,1,0,1,0,Yes
Dietetic or low calorie candy,"Dietetic or low calorie candy, NFS",91770000,0,98.6,0,0,0,1.4,0,0,0,0,No
Dietetic or low calorie gumdrops,Dietetic or low calorie gumdrops,91770010,0,88.1,0,0,0,11.7,0,0,0,0,Yes
Dietetic or low calorie hard candy,Dietetic or low calorie hard candy,91770020,0,98.6,0,0,0,1.4,0,0,0,0,Yes
Dietetic or low calorie candy,"Dietetic or low calorie candy, chocolate covered",91770030,0,37.68,22,3.5,12.39,4,129,332,606,0.85,Yes
Dietetic or low calorie mints,Dietetic or low calorie mints,91770050,0,98.6,0,0,0,1.4,0,0,0,0,Yes
Chewing gum,"Chewing gum, NFS",91800100,0,95.37,0,2.4,0,3.23,0,0,1,0,No
Chewing gum,"Chewing gum, regular",91801000,0,96.7,0,2.4,0,2.6,0,0,2,0,No
Chewing gum,"Chewing gum, sugar free",91802000,0,94.8,0,2.4,0,3.5,0,0,0,0,No
Coffee,"Coffee, NS as to type",92100000,0,0,0,0,0.12,99.39,3,3,49,0,Yes
Coffee,"Coffee, NS as to brewed or instant",92100500,0,0,0,0,0.12,99.39,3,3,49,0,No
Coffee,"Coffee, brewed",92101000,0,0,0,0,0.12,99.39,3,3,49,0,No
Coffee,"Coffee, brewed, blend of regular and decaffeinated",92101500,0,0,0,0,0.11,99.34,4,2,52,0,Yes
Coffee,"Coffee, Turkish",92101600,0,6.47,0,0,0.11,92.94,3,3,46,0,Yes
Coffee,"Coffee, espresso",92101610,0,1.67,0,0,0.12,97.8,80,7,115,0,No
Coffee,"Coffee, espresso, decaffeinated",92101630,0,1.69,0,0,0.1,97.8,80,7,115,0,No
Coffee,"Coffee, brewed, flavored",92101700,0,0,0,0,0.12,99.39,3,3,49,0,Yes
Coffee,"Coffee, Cuban",92101800,0,7.84,0,0,0.11,91.64,75,7,108,0,Yes
Coffee,"Coffee, macchiato",92101810,0,2.72,3,0,1.18,94.91,58,39,129,0.15,No
Coffee,"Coffee, macchiato, sweetened",92101820,0,6.9,3,0,1.13,90.82,55,37,123,0.14,Yes
Coffee,"Coffee, cafe con leche",92101850,0,5.64,4,0,1.67,91.14,45,53,132,0.27,Yes
Coffee,"Coffee, cafe con leche, decaffeinated",92101851,0,5.72,4,0,1.69,91.03,45,54,133,0.28,Yes
Coffee,"Coffee, Latte",92101900,0,4.36,7,0,2.8,90.57,23,87,152,0.37,Yes
Coffee,"Coffee, Latte, nonfat",92101901,0,4.35,2,0,2.87,91.98,24,90,158,0.39,No
Coffee,"Coffee, Latte, with non-dairy milk",92101903,0,4.51,0,0.2,1.26,92.58,22,23,97,0.35,No
Coffee,"Coffee, Latte, flavored",92101904,0,7.5,6,0,2.71,87.59,23,84,147,0.35,No
Coffee,"Coffee, Latte, nonfat, flavored",92101905,0,7.48,2,0,2.78,88.95,23,87,153,0.37,Yes
Coffee,"Coffee, Latte, with non-dairy milk, flavored",92101906,0,7.63,0,0.2,1.22,89.54,21,22,94,0.34,No
Coffee,"Coffee, Latte, decaffeinated",92101910,0,4.38,7,0,2.82,90.53,23,87,152,0.37,No
Coffee,"Coffee, Latte, decaffeinated, nonfat",92101911,0,4.36,3,0,2.88,91.95,24,91,158,0.39,Yes
Coffee,"Coffee, Latte, decaffeinated, with non-dairy milk",92101913,0,4.53,0,0.2,1.26,92.55,22,23,97,0.36,Yes
Coffee,"Coffee, Latte, decaffeinated, flavored",92101917,0,7.53,6,0,2.72,87.53,22,84,147,0.36,No
Coffee,"Coffee, Latte, decaffeinated, nonfat, flavored",92101918,0,7.52,2,0,2.79,88.91,23,88,153,0.38,No
Coffee,"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",92101919,0,7.66,0,0.2,1.22,89.49,21,22,94,0.34,Yes
Frozen coffee drink,Frozen coffee drink,92101920,0,13.41,4,0,1.55,83.7,18,48,91,0.25,Yes
Frozen coffee drink,"Frozen coffee drink, nonfat",92101921,0,13.4,1,0,1.59,84.48,18,50,95,0.27,No
Frozen coffee drink,"Frozen coffee drink, with non-dairy milk",92101923,0,13.46,0,0.1,0.7,84.82,17,13,61,0.2,Yes
Frozen coffee drink,"Frozen coffee drink, with whipped cream",92101925,0,12.85,9,0,1.62,82.32,18,49,91,0.25,Yes
Frozen coffee drink,"Frozen coffee drink, nonfat, with whipped cream",92101926,0,12.84,7,0,1.66,83.06,18,50,95,0.26,Yes
Frozen coffee drink,"Frozen coffee drink, with non-dairy milk and whipped cream",92101928,0,12.9,6,0.1,0.82,83.39,17,15,63,0.19,Yes
Frozen coffee drink,"Frozen coffee drink, decaffeinated",92101930,0,13.47,4,0,1.56,83.63,18,48,91,0.25,No
Frozen coffee drink,"Frozen coffee drink, decaffeinated, nonfat",92101931,0,13.46,1,0,1.59,84.41,18,50,95,0.27,No
Frozen coffee drink,"Frozen coffee drink, decaffeinated, with non-dairy milk",92101933,0,13.47,0,0.1,1.21,84.21,19,21,74,0.39,No
Frozen coffee drink,"Frozen coffee drink, decaffeinated, with whipped cream",92101935,0,12.9,10,0,1.62,82.25,17,49,91,0.25,Yes
Frozen coffee drink,"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",92101936,0,12.89,7,0,1.66,82.99,18,51,95,0.26,No
Frozen coffee drink,"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",92101938,0,12.96,6,0.1,0.82,83.32,17,15,63,0.19,No
Coffee,"Coffee, Cafe Mocha",92101950,0,10.23,6,0,2.56,85.07,25,84,149,0.33,Yes
Coffee,"Coffee, Cafe Mocha, nonfat",92101955,0,10.17,2,0,2.6,86.41,25,87,155,0.35,Yes
Coffee,"Coffee, Cafe Mocha, with non-dairy milk",92101960,0,10.3,0,0.1,1.14,86.97,24,26,99,0.32,No
Coffee,"Coffee, Cafe Mocha, decaffeinated",92101965,0,10.23,6,0,2.55,85.07,25,84,149,0.33,No
Coffee,"Coffee, Cafe Mocha, decaffeinated, nonfat",92101970,0,10.22,2,0,2.61,86.36,25,88,155,0.35,Yes
Coffee,"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",92101975,0,10.35,0,0.1,1.15,86.91,23,26,99,0.32,No
Frozen mocha coffee drink,Frozen mocha coffee drink,92102000,0,13.07,4,0,1.5,84.06,21,52,99,0.24,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, nonfat",92102010,0,13.07,1,0,1.54,84.82,22,54,103,0.26,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, with non-dairy milk",92102020,0,13.13,0,0.1,0.68,85.15,21,18,70,0.19,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, with whipped cream",92102030,0,12.55,9,0,1.57,82.7,21,52,99,0.24,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, nonfat, with whipped cream",92102040,0,12.54,7,0,1.61,83.42,21,54,102,0.25,No
Frozen mocha coffee drink,"Frozen mocha coffee drink, with non-dairy milk and whipped cream",92102050,0,12.6,6,0.1,0.79,83.74,20,20,71,0.19,No
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated",92102060,0,13.13,4,0,1.51,84,21,52,99,0.24,No
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated, nonfat",92102070,0,13.12,1,0,1.54,84.76,21,54,103,0.26,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",92102080,0,13.19,0,0.1,0.68,85.09,20,18,70,0.19,No
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated, with whipped cream",92102090,0,12.6,9,0,1.58,82.64,20,53,99,0.24,No
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",92102100,0,12.59,7,0,1.61,83.35,20,54,102,0.25,Yes
Frozen mocha coffee drink,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",92102110,0,12.66,6,0.1,0.79,83.68,20,20,71,0.19,Yes
Iced Coffee,"Iced Coffee, brewed",92102400,0,0,0,0,0.09,99.51,3,2,38,0,No
Iced Coffee,"Iced Coffee, brewed, decaffeinated",92102401,0,0,0,0,0.08,99.44,4,1,42,0,No
Iced Coffee,"Iced Coffee, pre-lightened and pre-sweetened",92102450,0,4.94,3,0,0.25,93.31,3,7,42,0.01,Yes
Coffee,"Coffee, Iced Latte",92102500,0,2.82,4,0,1.74,93.98,20,54,102,0.28,Yes
Coffee,"Coffee, Iced Latte, nonfat",92102501,0,2.8,2,0,1.78,94.86,21,56,106,0.3,No
Coffee,"Coffee, Iced Latte, with non-dairy milk",92102502,0,2.91,0,0.1,0.79,95.22,20,15,68,0.22,Yes
Coffee,"Coffee, Iced Latte, flavored",92102503,0,6.1,4,0,1.68,90.8,20,52,99,0.27,Yes
Coffee,"Coffee, Iced Latte, nonfat, flavored",92102504,0,6.09,1,0,1.72,91.64,20,54,103,0.29,Yes
Coffee,"Coffee, Iced Latte, with non-dairy milk, flavored",92102505,0,6.18,0,0.1,0.76,92,19,14,66,0.21,Yes
Coffee,"Coffee, Iced Latte, decaffeinated",92102510,0,2.82,4,0,1.75,93.96,20,54,102,0.28,No
Coffee,"Coffee, Iced Latte, decaffeinated, nonfat",92102511,0,2.81,2,0,1.79,94.84,20,56,106,0.3,No
Coffee,"Coffee, Iced Latte, decaffeinated, with non-dairy milk",92102512,0,2.92,0,0.1,0.79,95.2,19,15,68,0.22,No
Coffee,"Coffee, Iced Latte, decaffeinated, flavored",92102513,0,6.12,4,0,1.69,90.76,19,53,99,0.28,Yes
Coffee,"Coffee, Iced Latte, decaffeinated, nonfat, flavored",92102514,0,6.12,1,0,1.73,91.61,20,55,103,0.29,No
Coffee,"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",92102515,0,6.21,0,0.1,0.76,91.96,19,14,66,0.21,No
Coffee,"Coffee, Iced Cafe Mocha",92102600,0,8.95,4,0,1.58,88.07,22,55,104,0.26,Yes
Coffee,"Coffee, Iced Cafe Mocha, nonfat",92102601,0,8.94,1,0,1.61,88.86,23,56,108,0.27,Yes
Coffee,"Coffee, Iced Cafe Mocha, with non-dairy milk",92102602,0,9.02,0,0.1,0.72,89.2,22,19,73,0.2,No
Coffee,"Coffee, Iced Cafe Mocha, decaffeinated",92102610,0,8.99,4,0,1.58,88.02,22,55,104,0.26,No
Coffee,"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",92102611,0,8.98,1,0,1.62,88.81,22,57,108,0.27,Yes
Coffee,"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",92102612,0,9.06,0,0.1,0.72,89.16,21,19,73,0.2,Yes
Coffee,"Coffee, instant, reconstituted",92103000,0,0.63,0,0,0.1,99.09,4,3,30,0,No
Coffee,"Coffee, instant, 50% less caffeine, reconstituted",92104000,0,0.61,0,0,0.12,99.09,4,3,30,0,Yes
Coffee,"Coffee, NS as to brewed or instant, decaffeinated",92111000,0,0,0,0,0.1,99.3,5,1,54,0,Yes
Coffee,"Coffee, brewed, decaffeinated",92111010,0,0,0,0,0.1,99.3,5,1,54,0,Yes
Coffee,"Coffee, instant, decaffeinated, reconstituted",92114000,0,0.64,0,0,0.1,99.09,4,2,29,0,Yes
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted",92121000,0,5.11,0,0,0.15,93.83,4,8,42,0,No
Coffee,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted",92121001,0,5.11,0,0,0.14,93.83,3,8,42,0,No
Coffee,"Coffee, instant, pre-sweetened with sugar, reconstituted",92121010,0,3.96,0,0,0.1,95.75,4,2,29,0,No
Coffee,"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, reconstituted",92121020,0,6.49,0,0.1,0.43,90.93,6,24,87,0.03,Yes
Coffee,"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121030,0,2.46,0,0.2,0.32,96.57,6,15,67,0,No
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121040,0,2.37,0,0,0.15,96.56,4,9,43,0,No
Coffee,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121041,0,2.38,0,0,0.15,96.55,4,8,43,0,Yes
Coffee,"Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121050,0,2.33,0,0.2,0.29,96.74,5,15,61,0,Yes
Coffee,"Coffee, pre-lightened and pre-sweetened with sugar",92130000,0,5.11,0,0,0.15,93.83,4,8,42,0,No
Coffee,"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",92130001,0,5.11,0,0,0.14,93.83,3,8,42,0,No
Coffee,"Coffee, pre-lightened and pre-sweetened with low calorie sweetener",92130005,0,2.37,0,0,0.15,96.56,4,9,43,0,Yes
Coffee,"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",92130006,0,2.38,0,0,0.15,96.56,4,8,43,0,Yes
Coffee,"Coffee, pre-lightened",92130010,0,1.88,0,0,0.15,97.04,4,9,43,0,No
Coffee,"Coffee, decaffeinated, pre-lightened",92130011,0,1.89,0,0,0.15,97.03,4,9,43,0,Yes
Coffee,"Coffee, pre-sweetened with sugar",92130020,0,3.96,0,0,0.1,95.75,4,2,29,0,Yes
Coffee,"Coffee, decaffeinated, pre-sweetened with sugar",92130021,0,3.97,0,0,0.09,95.75,3,2,28,0,Yes
Coffee,"Coffee, pre-sweetened with low calorie sweetener",92130030,0,1.13,0,0,0.1,98.59,4,3,29,0,Yes
Coffee,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",92130031,0,1.14,0,0,0.1,98.59,4,2,29,0,No
Coffee and chicory,"Coffee and chicory, brewed",92152000,0,0,0,0,0.12,99.39,3,3,49,0,No
Coffee and chicory,"Coffee and chicory, brewed, decaffeinated",92152010,0,0,0,0,0.1,99.3,5,1,54,0,No
Coffee,"Coffee, Cappuccino",92161000,0,2.76,4,0,1.71,94.1,20,53,100,0.22,Yes
Coffee,"Coffee, Cappuccino, nonfat",92161001,0,2.75,2,0,1.75,94.96,20,55,104,0.23,No
Coffee,"Coffee, Cappuccino, with non-dairy milk",92161002,0,2.86,0,0.1,0.78,95.29,19,14,67,0.22,No
Coffee,"Coffee, Cappuccino, decaffeinated",92162000,0,2.77,4,0,1.71,94.08,20,53,100,0.22,Yes
Coffee,"Coffee, Cappuccino, decaffeinated, nonfat",92162001,0,2.76,2,0,1.75,94.94,20,55,104,0.24,Yes
Coffee,"Coffee, Cappuccino, decaffeinated, with non-dairy milk",92162002,0,2.87,0,0.1,0.78,95.28,19,14,66,0.22,No
Coffee,"Coffee, bottled/canned",92171000,0,12.6,5,0,1.98,83.56,9,59,175,0.51,No
Coffee,"Coffee, bottled/canned, light",92171010,0,5.91,3,0,1.27,91.57,6,39,86,0.2,Yes
Coffee,"Coffee, instant, not reconstituted",92191100,0,75.4,0,0,12.2,3.1,327,303,3535,0,No
Coffee,"Coffee, instant, 50% less caffeine, not reconstituted",92191105,0,73.18,0,0,14.42,3.1,327,303,3535,0,Yes
Coffee,"Coffee, instant, decaffeinated, not reconstituted",92191200,0,76,0,0,11.6,3.2,311,286,3501,0,Yes
Coffee,"Coffee, instant, pre-sweetened with sugar, not reconstituted",92191400,0,94.92,0,0,2.36,0.62,64,59,686,0,Yes
Coffee,"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",92192000,0,74.04,0,1.9,5.29,1.7,68,251,1033,0.45,Yes
Coffee,"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",92192030,0,71.64,0,4.5,9.2,3.1,135,442,1958,0,No
Coffee,"Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetend with low calorie sweetener, not reconstituted",92192040,0,71.4,0,4.8,9,3.1,122,451,1856,0,No
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",92193000,0,82.96,0,0,2.4,1.41,43,136,680,0,No
Coffee,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",92193005,0,86.28,0,0,0,0.16,0,0,57,0,Yes
Coffee,"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",92193020,0,59.94,0,0.5,1.96,6.16,2,135,909,0,No
Coffee,"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",92193025,0,68.16,0,0,4.22,3.94,73,243,1227,0,No
Coffee substitute,Coffee substitute,92201010,0,1.3,0,0.4,0.1,98.37,5,10,41,0,Yes
Chicory beverage,Chicory beverage,92202010,0,1.42,0,0,0.22,98.1,7,5,65,0,Yes
Cereal beverage,Cereal beverage,92203000,0,1,0,0.3,0.08,98.73,4,7,31,0,No
Cereal beverage with beet roots,"Cereal beverage with beet roots, from powdered instant",92203110,0,1,0,0.3,0.08,98.73,4,7,31,0,No
Coffee substitute,"Coffee substitute, dry powder",92291300,0,78.42,0,23.3,6.01,7.99,244,580,2443,0,Yes
Tea,"Tea, hot, leaf, black",92302000,0,0.3,0,0,0,99.7,3,1,37,0,Yes
Tea,"Tea, hot, leaf, black, decaffeinated",92302500,0,0.3,0,0,0,99.7,3,1,37,0,No
Tea,"Tea, hot, leaf, green",92303010,0,0,0,0,0.22,99.93,1,0,8,0,Yes
Tea,"Tea, hot, leaf, green, decaffeinated",92303100,0,0,0,0,0,99.93,1,0,15,0,Yes
Tea,"Tea, hot, leaf, oolong",92304100,0,0.15,0,0,0,99.84,1,1,12,0,Yes
Tea,"Tea, iced, instant, black, unsweetened",92305010,0,0.23,0,0,0.02,99.62,1,0,10,0,Yes
Tea,"Tea, iced, instant, black, pre-sweetened with sugar",92305040,0,7.31,0,0.1,0.01,92.5,1,0,13,0,No
Tea,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",92305050,0,7.89,0,0,0.06,91.89,2,1,17,0,No
Tea,"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",92305090,0,0.44,0,0,0.02,99.41,2,1,14,0,No
Tea,"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",92305110,0,0.72,0,0,0.03,99.09,2,1,21,0,Yes
Tea,"Tea, iced, instant, black, decaffeinated, unsweetened",92305180,0,0.17,0,0,0.06,99.62,2,1,18,0,No
Tea,"Tea, iced, instant, green, unsweetened",92305900,0,0,0,0,0,99.88,0,26,19,0,No
Tea,"Tea, iced, instant, green, pre-sweetened with sugar",92305910,0,6.2,0,0,0,93.54,0,31,12,0,Yes
Tea,"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",92305920,0,0.93,0,0,0,98.71,1,0,5,0,Yes
Tea,"Tea, hot, herbal",92306000,0,0.2,0,0,0,99.7,1,0,9,0,No
Tea,"Tea, hot, hibiscus",92306090,0,0,0,0,0,99.58,3,1,20,0,No
Corn beverage,Corn beverage,92306100,7,9.4,0,0.5,0.84,89.07,5,11,16,0,Yes
Tea,"Tea, hot, chamomile",92306700,0,0.2,0,0,0,99.7,1,0,9,0,Yes
Tea,"Tea, hot, chai, with milk",92306800,0,8.97,4,0.1,1.58,88.11,7,49,92,0.26,No
Tea,"Tea, iced, instant, black, unsweetened, dry",92307000,0,58.66,0,8.5,20.21,5.09,272,239,6040,0,Yes
Tea,"Tea, iced, instant, black, pre-sweetened, dry",92307400,0,98.55,0,0.7,0.12,0.13,3,2,169,0,Yes
Iced Tea / Lemonade juice drink,Iced Tea / Lemonade juice drink,92307500,0,9.15,0,0.3,0.2,90.5,5,4,67,0,Yes
Iced Tea / Lemonade juice drink,"Iced Tea / Lemonade juice drink, light",92307510,0,6.12,0,0.3,0.22,93.5,5,5,72,0,Yes
Iced Tea / Lemonade juice drink,"Iced Tea / Lemonade juice drink, diet",92307520,0,0.57,0,0,0,99.32,1,5,21,0,No
Tea,"Tea, iced, brewed, black, pre-sweetened with sugar",92308000,0,7.94,0,0,0,92.03,3,1,34,0,No
Tea,"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",92308010,0,0.68,0,0,0,99.32,3,1,37,0,No
Tea,"Tea, iced, brewed, black, unsweetened",92308020,0,0.3,0,0,0,99.7,3,1,37,0,Yes
Tea,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",92308030,0,7.94,0,0,0,92.03,3,1,34,0,No
Tea,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",92308040,0,0.68,0,0,0,99.32,3,1,37,0,No
Tea,"Tea, iced, brewed, black, decaffeinated, unsweetened",92308050,0,0.3,0,0,0,99.7,3,1,37,0,Yes
Tea,"Tea, iced, brewed, green, pre-sweetened with sugar",92308500,0,7.66,0,0,0.2,92.24,1,0,8,0,Yes
Tea,"Tea, iced, brewed, green, pre-sweetened with low calorie sweetener",92308510,0,0.38,0,0,0.22,99.55,1,0,8,0,No
Tea,"Tea, iced, brewed, green, unsweetened",92308520,0,0,0,0,0.22,99.93,1,0,8,0,No
Tea,"Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar",92308530,0,7.66,0,0,0,92.24,1,0,14,0,Yes
Tea,"Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener",92308540,0,0.38,0,0,0,99.55,1,0,15,0,Yes
Tea,"Tea, iced, brewed, green, decaffeinated, unsweetened",92308550,0,0,0,0,0,99.93,1,0,15,0,No
Tea,"Tea, iced, bottled, black",92309000,0,10.8,0,0,0,88.95,1,1,14,0,Yes
Tea,"Tea, iced, bottled, black, decaffeinated",92309010,0,8.75,0,0,0,91.22,2,4,27,0,Yes
Tea,"Tea, iced, bottled, black, diet",92309020,0,0.22,0,0,0,99.72,0,33,14,0,Yes
Tea,"Tea, iced, bottled, black, decaffeinated, diet",92309030,0,0.83,0,0,0,99.14,2,4,27,0,Yes
Tea,"Tea, iced, bottled, black, unsweetened",92309040,0,0,0,0,0,97.89,0,0,0,0,No
Tea,"Tea, iced, bottled, black, decaffeinated, unsweetened",92309050,0,0.3,0,0,0,99.7,3,1,37,0,No
Tea,"Tea, iced, bottled, green",92309500,0,6.2,0,0,0,93.54,0,31,12,0,No
Tea,"Tea, iced, bottled, green, diet",92309510,0,0.93,0,0,0,98.71,1,0,5,0,Yes
Tea,"Tea, iced, bottled, green, unsweetened",92309520,0,0,0,0,0,99.88,0,26,19,0,No
Soft drink,"Soft drink, NFS",92400000,0,10.36,0,0,0,89.36,0,9,5,0,No
Soft drink,"Soft drink, NFS, diet",92400100,0,0.29,0,0,0.11,99.54,1,9,8,0,Yes
Carbonated water,"Carbonated water, sweetened",92410110,0,8.8,0,0,0,91.1,0,0,0,0,Yes
Carbonated water,"Carbonated water, unsweetened",92410210,0,0,0,0,0,99.9,1,0,2,0,No
Carbonated water,"Carbonated water, sweetened, with low-calorie or no-calorie sweetener",92410250,0,0,0,0,0.1,99.8,1,0,2,0,No
Soft drink,"Soft drink, cola",92410310,0,10.36,0,0,0,89.36,0,9,5,0,Yes
Soft drink,"Soft drink, cola, reduced sugar",92410315,0,5.16,0,0,0,94.78,0,11,3,0,No
Soft drink,"Soft drink, cola, diet",92410320,0,0.29,0,0,0.11,99.54,1,9,8,0,Yes
Soft drink,"Soft drink, cola, decaffeinated",92410340,0,10.58,0,0,0,89.62,0,11,3,0,Yes
Soft drink,"Soft drink, cola, decaffeinated, diet",92410350,0,0.12,0,0,0.12,99.74,0,10,7,0,Yes
Soft drink,"Soft drink, pepper type",92410360,0,10.36,0,0,0,89.36,0,9,5,0,Yes
Soft drink,"Soft drink, pepper type, diet",92410370,0,0.29,0,0,0.11,99.54,1,9,8,0,No
Soft drink,"Soft drink, pepper type, decaffeinated",92410390,0,10.58,0,0,0,89.62,0,11,3,0,No
Soft drink,"Soft drink, pepper type, decaffeinated, diet",92410400,0,0.12,0,0,0.12,99.74,0,10,7,0,No
Soft drink,"Soft drink, cream soda",92410410,0,13.3,0,0,0,86.7,1,0,1,0,Yes
Soft drink,"Soft drink, cream soda, diet",92410420,0,0,0,0,0.1,99.8,1,0,2,0,No
Soft drink,"Soft drink, fruit flavored, caffeine free",92410510,0,10.14,0,0,0.05,89.78,1,0,1,0,No
Soft drink,"Soft drink, fruit flavored, diet, caffeine free",92410520,0,0,0,0,0.1,99.8,1,0,2,0,Yes
Soft drink,"Soft drink, fruit flavored, caffeine containing",92410550,0,12.83,0,0,0,86.89,1,0,2,0,Yes
Soft drink,"Soft drink, fruit flavored, caffeine containing, diet",92410560,0,0,0,0,0.1,99.8,1,0,2,0,No
Soft drink,"Soft drink, ginger ale",92410610,0,8.76,0,0,0,91.23,1,0,1,0,No
Soft drink,"Soft drink, ginger ale, diet",92410620,0,0,0,0,0.1,99.8,1,0,2,0,Yes
Soft drink,"Soft drink, root beer",92410710,0,10.6,0,0,0,89.3,1,0,1,0,Yes
Soft drink,"Soft drink, root beer, diet",92410720,0,0,0,0,0.1,99.8,1,0,2,0,No
Soft drink,"Soft drink, chocolate flavored",92410810,0,10.7,0,0,0,89.2,1,1,50,0,Yes
Soft drink,"Soft drink, chocolate flavored, diet",92410820,0,0.29,0,0,0.11,99.54,1,9,8,0,Yes
Soft drink,"Soft drink, cola, fruit or vanilla flavored",92411510,0,10.36,0,0,0,89.36,0,9,5,0,Yes
Soft drink,"Soft drink, cola, chocolate flavored",92411520,0,10.36,0,0,0,89.36,0,9,5,0,Yes
Soft drink,"Soft drink, cola, fruit or vanilla flavored, diet",92411610,0,0.29,0,0,0.11,99.54,1,9,8,0,No
Soft drink,"Soft drink, cola, chocolate flavored, diet",92411620,0,0.29,0,0,0.11,99.54,1,9,8,0,No
